id,year,date,session_start,session_end,room,chair,session_title,duration,dtstart,dtend,location,author,type,title,topic
1,2018,Mon 28 May 2018,09:00,10:30,E4 room,Chair(s): Abram Hindle University of Alberta,Welcome + Keynote,90.0,2018-05-28T09:00:00,2018-05-28T10:30:00,E4 room,Amy Ko,Talk,"Mining the Mind, Minding the Mine: Grand Challenges in Comprehension and MiningKeynote",Technical Papers
2,2018,Mon 28 May 2018,11:00,12:30,E3 room,Chair(s): Abram Hindle University of Alberta,Modularity and Dependency,17.0,2018-05-28T11:00:00,2018-05-28T11:17:00,E3 room,"Lina Ochoa , Thomas Degueule, Jurgen Vinju",Full-paper,An Empirical Evaluation of OSGi Dependencies Best Practices in the Eclipse IDE,Technical Papers
3,2018,Mon 28 May 2018,11:00,12:30,E3 room,Chair(s): Abram Hindle University of Alberta,Modularity and Dependency,17.0,2018-05-28T11:17:00,2018-05-28T11:34:00,E3 room,"Alexandre Decan , Tom Mens, Eleni Constantinou,  Link to publication,  DOI",Full-paper,On the impact of security vulnerabilities in the npm package dependency network,Technical Papers
4,2018,Mon 28 May 2018,11:00,12:30,E3 room,Chair(s): Abram Hindle University of Alberta,Modularity and Dependency,17.0,2018-05-28T11:34:00,2018-05-28T11:51:00,E3 room,"Parisa Moslehi, Bram Adams, Juergen Rilling ,  Pre-print",Full-paper,Feature Location using Crowd-based Screencasts,Technical Papers
5,2018,Mon 28 May 2018,11:00,12:30,E3 room,Chair(s): Abram Hindle University of Alberta,Modularity and Dependency,17.0,2018-05-28T11:51:00,2018-05-28T12:08:00,E3 room,"Barbara Russo,  Pre-print",Full-paper,Profiling call changes via motif mining,Technical Papers
6,2018,Mon 28 May 2018,11:00,12:30,E3 room,Chair(s): Abram Hindle University of Alberta,Modularity and Dependency,7.0,2018-05-28T12:08:00,2018-05-28T12:15:00,E3 room,"Arman Shahbazian, Daye Nam, Nenad Medvidović,  Pre-print",Short-paper,Toward Predicting Architectural Significance of Implementation Issues,Technical Papers
7,2018,Mon 28 May 2018,11:00,12:30,E3 room,Chair(s): Abram Hindle University of Alberta,Modularity and Dependency,15.0,2018-05-28T12:15:00,2018-05-28T12:30:00,E3 room,,Other,Discussion phase,Technical Papers
8,2018,Mon 28 May 2018,11:00,12:30,E4 room,Chair(s): Abram Hindle University of Alberta,CI and Release Engineering,17.0,2018-05-28T11:00:00,2018-05-28T11:17:00,E4 room,"Christoph Laaber, Philipp Leitner,  DOI,  Pre-print,  Media Attached",Full-paper,An Evaluation of Open-Source Software Microbenchmark Suites for Continuous Performance Assessment,Technical Papers
9,2018,Mon 28 May 2018,11:00,12:30,E4 room,Chair(s): Abram Hindle University of Alberta,CI and Release Engineering,17.0,2018-05-28T11:17:00,2018-05-28T11:34:00,E4 room,"João Helis Bernardo, Daniel Alencar Da Costa , Uirá Kulesza,  Pre-print",Full-paper,Studying the Impact of Adopting Continuous Integration on the Delivery Time of Pull Requests,Technical Papers
10,2018,Mon 28 May 2018,11:00,12:30,E4 room,Chair(s): Abram Hindle University of Alberta,CI and Release Engineering,17.0,2018-05-28T11:34:00,2018-05-28T11:51:00,E4 room,"Paolo Calciati , Konstantin Kuznetsov, Xue Bai , Alessandra Gorla",Full-paper,What Did Really Change with the new Release of the App?,Technical Papers
11,2018,Mon 28 May 2018,11:00,12:30,E4 room,Chair(s): Abram Hindle University of Alberta,CI and Release Engineering,17.0,2018-05-28T11:51:00,2018-05-28T12:08:00,E4 room,"Mathieu Nayrolles, Abdelwahab Hamou-Lhadj ",Full-paper,CLEVER: A1:L96 Code Metrics with Clone Detection for Just-In-Time Fault Prevention and Resolution in Large Industrial Projects,Technical Papers
12,2018,Mon 28 May 2018,11:00,12:30,E4 room,Chair(s): Abram Hindle University of Alberta,CI and Release Engineering,7.0,2018-05-28T12:08:00,2018-05-28T12:15:00,E4 room,"David Gray Widder, Michael Hilton, Christian Kästner, Bogdan Vasilescu,  DOI,  Pre-print",Short-paper,"I'm Leaving You, Travis: A Continuous Integration Breakup Story",Technical Papers
13,2018,Mon 28 May 2018,11:00,12:30,E4 room,Chair(s): Abram Hindle University of Alberta,CI and Release Engineering,15.0,2018-05-28T12:15:00,2018-05-28T12:30:00,E4 room,,Other,Discussion phase,Technical Papers
14,2018,Mon 28 May 2018,14:00,15:30,E3 room,Chair(s): Abram Hindle University of Alberta,Programming Practice,17.0,2018-05-28T14:00:00,2018-05-28T14:17:00,E3 room,"Rômulo Manciola Meloca , Gustavo Pinto, Leonardo Pontes Baiser , Marco Mattos , Ivanilton Polato , Igor Wiese, Daniel M. German,  Pre-print",Full-paper,"Understanding the Usage, Impact, and Adoption of Non-OSI Approved Licenses",Technical Papers
15,2018,Mon 28 May 2018,14:00,15:30,E3 room,Chair(s): Abram Hindle University of Alberta,Programming Practice,17.0,2018-05-28T14:17:00,2018-05-28T14:34:00,E3 room,"Dan Gopstein , Hongwei Zhou , Phyllis Frankl , Justin Cappos,  DOI,  Pre-print,  Media Attached",Full-paper,Prevalence of Confusing Code in Software Projects - Atoms of Confusion in the Wild,Technical Papers
16,2018,Mon 28 May 2018,14:00,15:30,E3 room,Chair(s): Abram Hindle University of Alberta,Programming Practice,17.0,2018-05-28T14:34:00,2018-05-28T14:51:00,E3 room,"Nathan Cassee , Gustavo Pinto, Fernando Castor, Alexander Serebrenik,  Pre-print",Full-paper,How Swift Developers Handle Errors,Technical Papers
17,2018,Mon 28 May 2018,14:00,15:30,E3 room,Chair(s): Abram Hindle University of Alberta,Programming Practice,17.0,2018-05-28T14:51:00,2018-05-28T15:08:00,E3 room,"Stefanos Georgiou, Maria Kechagia, Panos Louridas, Diomidis Spinellis,  DOI,  Pre-print",Full-paper,What are your Programming Language’s Energy-Delay Implications?,Technical Papers
18,2018,Mon 28 May 2018,14:00,15:30,E3 room,Chair(s): Abram Hindle University of Alberta,Programming Practice,7.0,2018-05-28T15:08:00,2018-05-28T15:15:00,E3 room,"Asher Trockman, Keenen Cates , Mark Mozina , Tuan Nguyen , Christian Kästner, Bogdan Vasilescu,  Pre-print,  Media Attached",Short-paper,Automatically Assessing Code Understandability Reanalyzed: Combined Metrics Matter,Technical Papers
19,2018,Mon 28 May 2018,14:00,15:30,E3 room,Chair(s): Abram Hindle University of Alberta,Programming Practice,15.0,2018-05-28T15:15:00,2018-05-28T15:30:00,E3 room,,Other,Discussion phase,Technical Papers
20,2018,Mon 28 May 2018,14:00,15:30,E4 room,Chair(s): Abram Hindle University of Alberta,Mobile,17.0,2018-05-28T14:00:00,2018-05-28T14:17:00,E4 room,"Mehran Mahmoudi , Sarah Nadi,  DOI,  Pre-print",Full-paper,The Android Update Problem: An Empirical Study,Technical Papers
21,2018,Mon 28 May 2018,14:00,15:30,E4 room,Chair(s): Abram Hindle University of Alberta,Mobile,17.0,2018-05-28T14:17:00,2018-05-28T14:34:00,E4 room,"Haoyu Wang, Hao Li , Li Li, Yao Guo, Guoai Xu,  Pre-print",Full-paper,Why are Android Apps Removed From Google Play? A Large-scale Empirical Study,Technical Papers
