id,year,date,session_start,session_end,room,chair,session_title,duration,dtstart,dtend,location,author,type,title,topic
1,2023,Mon 15 May 2023,09:00,10:30,Meeting Room 109,Chair(s): Patanamon Thongtanunam The University of Melbourne,Opening Session & Award Talks,20.0,2023-05-15T09:00:00,2023-05-15T09:20:00,Meeting Room 109,"Emad Shihab, Patanamon Thongtanunam, Bogdan Vasilescu",Day opening,Opening Session & Award Announcements,MSR Awards
2,2023,Mon 15 May 2023,09:00,10:30,Meeting Room 109,Chair(s): Patanamon Thongtanunam The University of Melbourne,Opening Session & Award Talks,20.0,2023-05-15T09:20:00,2023-05-15T09:40:00,Meeting Room 109,Audris Mockus,Talk,MSR 2023 Foundational Contribution Award,MSR Awards
3,2023,Mon 15 May 2023,09:00,10:30,Meeting Room 109,Chair(s): Patanamon Thongtanunam The University of Melbourne,Opening Session & Award Talks,20.0,2023-05-15T09:40:00,2023-05-15T10:00:00,Meeting Room 109,Li Li,Talk,MSR 2023 Ric Holt Early Career Achievement Award,MSR Awards
4,2023,Mon 15 May 2023,09:00,10:30,Meeting Room 109,Chair(s): Patanamon Thongtanunam The University of Melbourne,Opening Session & Award Talks,30.0,2023-05-15T10:00:00,2023-05-15T10:30:00,Meeting Room 109,"Miltiadis Allamanis, Charles Sutton",Talk,MIP #1: Mining Source Code Repositories at Massive Scale Using Language Modeling,MIP Award
5,2023,Mon 15 May 2023,11:00,11:45,Meeting Room 109,Chair(s): Patanamon Thongtanunam The University of Melbourne,Development Tools & Practices I,12.0,2023-05-15T11:00:00,2023-05-15T11:12:00,Meeting Room 109,"Kazi Amit Hasan, Marcos Macedo, Yuan Tian, Bram Adams, Ding Steven, H., H.,  Pre-print",Talk,Understanding the Time to First Response In GitHub Pull Requests,Technical Papers
6,2023,Mon 15 May 2023,11:00,11:45,Meeting Room 109,Chair(s): Patanamon Thongtanunam The University of Melbourne,Development Tools & Practices I,12.0,2023-05-15T11:12:00,2023-05-15T11:24:00,Meeting Room 109,"Phuong T. Nguyen, Riccardo Rubei, Juri Di Rocco, Claudio Di Sipio, Davide Di Ruscio, Massimiliano Di Penta,  Pre-print",Talk,Dealing with Popularity Bias in Recommender Systems for Third-party Libraries: How far Are We?,Technical Papers
7,2023,Mon 15 May 2023,11:00,11:45,Meeting Room 109,Chair(s): Patanamon Thongtanunam The University of Melbourne,Development Tools & Practices I,6.0,2023-05-15T11:24:00,2023-05-15T11:30:00,Meeting Room 109,"Ilham Qasse, Mohammad Hamdaqa, Björn Þór Jónsson",Talk,Smart Contract Upgradeability on the Ethereum Blockchain Platform: An Exploratory Study,Registered Reports
8,2023,Mon 15 May 2023,11:00,11:45,Meeting Room 109,Chair(s): Patanamon Thongtanunam The University of Melbourne,Development Tools & Practices I,6.0,2023-05-15T11:30:00,2023-05-15T11:36:00,Meeting Room 109,"Michael Schröder, Jürgen Cito,  Pre-print",Talk,An Exploratory Study of Ad Hoc Parsers in Python,Registered Reports
9,2023,Mon 15 May 2023,11:00,11:45,Meeting Room 109,Chair(s): Patanamon Thongtanunam The University of Melbourne,Development Tools & Practices I,6.0,2023-05-15T11:36:00,2023-05-15T11:42:00,Meeting Room 109,"Jirat Pasuksmit, Fan Jiang, Kemp Thornton, Arik Friedman, Natalija Fuksmane, Isabelle Kohout, Julian Connor,  Pre-print",Talk,Improving Agile Planning for Reliable Software Delivery,Industry Track
10,2023,Mon 15 May 2023,11:00,11:45,Meeting Room 110,Chair(s): Patanamon Thongtanunam The University of Melbourne,SE for ML,12.0,2023-05-15T11:00:00,2023-05-15T11:12:00,Meeting Room 110,"Chao Wang, Zhenpeng Chen, Minghui Zhou,  Pre-print",Talk,AutoML from Software Engineering Perspective: Landscapes and ChallengesDistinguished Paper Award,Technical Papers
11,2023,Mon 15 May 2023,11:00,11:45,Meeting Room 110,Chair(s): Patanamon Thongtanunam The University of Melbourne,SE for ML,12.0,2023-05-15T11:12:00,2023-05-15T11:24:00,Meeting Room 110,"Nima Shiri Harzevili, Jiho Shin, Junjie Wang, Song Wang, Nachiappan Nagappan",Talk,Characterizing and Understanding Software Security Vulnerabilities in Machine Learning Libraries,Technical Papers
12,2023,Mon 15 May 2023,11:00,11:45,Meeting Room 110,Chair(s): Patanamon Thongtanunam The University of Melbourne,SE for ML,6.0,2023-05-15T11:24:00,2023-05-15T11:30:00,Meeting Room 110,"Chengjie Lu, Tao Yue, Shaukat Ali,  Pre-print",Talk,DeepScenario: An Open Driving Scenario Dataset for Autonomous Driving System Testing,Data and Tool Showcase Track
13,2023,Mon 15 May 2023,11:00,11:45,Meeting Room 110,Chair(s): Patanamon Thongtanunam The University of Melbourne,SE for ML,6.0,2023-05-15T11:30:00,2023-05-15T11:36:00,Meeting Room 110,"Ratnadira Widyasari, Zhou Yang, Ferdian Thung, Sheng Qin Sim, Fiona Wee, Camellia Lok, Jack Phan, Haodi Qi, Constance Tan, Qijin Tay, David Lo",Talk,NICHE: A Curated Dataset of Engineered Machine Learning Projects in Python,Data and Tool Showcase Track
14,2023,Mon 15 May 2023,11:00,11:45,Meeting Room 110,Chair(s): Patanamon Thongtanunam The University of Melbourne,SE for ML,6.0,2023-05-15T11:36:00,2023-05-15T11:42:00,Meeting Room 110,"Wenxin Jiang, Nicholas Synovic, Purvish Jajal, Taylor R. Schorlemmer, Arav Tewari, Bhavesh Pareek, George K. Thiruvathukal, James C. Davis,  Pre-print",Talk,PTMTorrent: A Dataset for Mining Open-source Pre-trained Model Packages,Data and Tool Showcase Track
15,2023,Mon 15 May 2023,11:50,12:35,Meeting Room 109,Chair(s): Patanamon Thongtanunam The University of Melbourne,Documentation + Q&A I,12.0,2023-05-15T11:50:00,2023-05-15T12:02:00,Meeting Room 109,"Henry Tang, Sarah Nadi",Talk,Evaluating Software Documentation Quality,Technical Papers
16,2023,Mon 15 May 2023,11:50,12:35,Meeting Room 109,Chair(s): Patanamon Thongtanunam The University of Melbourne,Documentation + Q&A I,12.0,2023-05-15T12:02:00,2023-05-15T12:14:00,Meeting Room 109,"Zhou Yang, Chenyu Wang, Jieke Shi, Thong Hoang, Pavneet Singh Kochhar, Qinghua Lu, Zhenchang Xing, David Lo",Talk,What Do Users Ask in Open-Source AI Repositories? An Empirical Study of GitHub Issues,Technical Papers
17,2023,Mon 15 May 2023,11:50,12:35,Meeting Room 109,Chair(s): Patanamon Thongtanunam The University of Melbourne,Documentation + Q&A I,12.0,2023-05-15T12:14:00,2023-05-15T12:26:00,Meeting Room 109,"Ivana Clairine Irsan, Ting Zhang, Ferdian Thung, Kisub Kim, David Lo",Talk,PICASO: Enhancing API Recommendations with Relevant Stack Overflow Posts,Technical Papers
18,2023,Mon 15 May 2023,11:50,12:35,Meeting Room 109,Chair(s): Patanamon Thongtanunam The University of Melbourne,Documentation + Q&A I,6.0,2023-05-15T12:26:00,2023-05-15T12:32:00,Meeting Room 109,"Nafiseh Nikehgbal, Amir Hossein Kargaran, Abbas Heydarnoori, Hinrich Schütze,  Pre-print",Talk,GIRT-Data: Sampling GitHub Issue Report Templates,Data and Tool Showcase Track
19,2023,Mon 15 May 2023,11:50,12:35,Meeting Room 110,Chair(s): Patanamon Thongtanunam The University of Melbourne,Software Evolution & Analysis,6.0,2023-05-15T11:50:00,2023-05-15T11:56:00,Meeting Room 110,"Joshua D. Scarsbrook, Mark Utting, Ryan K. L. Ko,  Pre-print",Talk,TypeScript's Evolution: An Analysis of Feature Adoption Over Time,Technical Papers
20,2023,Mon 15 May 2023,11:50,12:35,Meeting Room 110,Chair(s): Patanamon Thongtanunam The University of Melbourne,Software Evolution & Analysis,6.0,2023-05-15T11:56:00,2023-05-15T12:02:00,Meeting Room 110,"Tobias Litzenberger, Johannes Düsing, Ben Hermann",Talk,"DGMF: Fast Generation of Comparable, Updatable Dependency Graphs for Software Repositories",Data and Tool Showcase Track
21,2023,Mon 15 May 2023,11:50,12:35,Meeting Room 110,Chair(s): Patanamon Thongtanunam The University of Melbourne,Software Evolution & Analysis,6.0,2023-05-15T12:02:00,2023-05-15T12:08:00,Meeting Room 110,"Satrio Adi Rukmono, Michel Chaudron",Talk,Enabling Analysis and Reasoning on Software Systems through Knowledge Graph Representation,Data and Tool Showcase Track
22,2023,Mon 15 May 2023,11:50,12:35,Meeting Room 110,Chair(s): Patanamon Thongtanunam The University of Melbourne,Software Evolution & Analysis,6.0,2023-05-15T12:08:00,2023-05-15T12:14:00,Meeting Room 110,"Simon Schneider, Tufan Özen, Michael Chen, Riccardo Scandariato",Talk,microSecEnD: A Dataset of Security-Enriched Dataflow Diagrams for Microservice Applications,Data and Tool Showcase Track
23,2023,Mon 15 May 2023,11:50,12:35,Meeting Room 110,Chair(s): Patanamon Thongtanunam The University of Melbourne,Software Evolution & Analysis,12.0,2023-05-15T12:14:00,2023-05-15T12:26:00,Meeting Room 110,"Alexander Nicholson, Quentin Stiévenart, Arash Mazidi, Mohammad Ghafari",Talk,Wasmizer: Curating WebAssembly-driven Projects on GitHub,Technical Papers
