id,year,date,session_start,session_end,room,chair,session_title,duration,dtstart,dtend,location,author,type,title,topic
1,2020,Mon 29 Jun 2020,10:30,11:00,MSR:Zoom,Chair(s): Venera Arnaoudova Washington State University,Programming Languages & Models,6.0,2020-06-29T10:30:00,2020-06-29T10:36:00,MSR:Zoom,"Jürgen Cito, Jiasi Shen, Martin C. Rinard,  Pre-print,  Media Attached",Live Q&A,An Empirical Study on the Impact of Deimplicitization on Program ComprehensionMSR - Registered Reports,Registered Reports
2,2020,Mon 29 Jun 2020,10:30,11:00,MSR:Zoom,Chair(s): Venera Arnaoudova Washington State University,Programming Languages & Models,6.0,2020-06-29T10:36:00,2020-06-29T10:42:00,MSR:Zoom,"Jason Tsay, Alan Braz, Martin Hirzel, Avraham Shinnar, Todd Mummert,  Pre-print,  Media Attached",Live Q&A,AIMMX: Artificial Intelligence Model Metadata ExtractorMSR - Technical Paper,Technical Papers
3,2020,Mon 29 Jun 2020,10:30,11:00,MSR:Zoom,Chair(s): Venera Arnaoudova Washington State University,Programming Languages & Models,6.0,2020-06-29T10:42:00,2020-06-29T10:48:00,MSR:Zoom,"Timofey Bryksin, Victor Petukhov, Ilya Alexin, Stanislav Prikhodko, Alexey Shpilman, Vladimir Kovalenko, Nikita Povarov,  Pre-print,  Media Attached",Live Q&A,Using Large-Scale Anomaly Detection on Code to Improve Kotlin CompilerMSR - Technical Paper,Technical Papers
4,2020,Mon 29 Jun 2020,10:30,11:00,MSR:Zoom,Chair(s): Venera Arnaoudova Washington State University,Programming Languages & Models,6.0,2020-06-29T10:48:00,2020-06-29T10:54:00,MSR:Zoom,"Tomoki Nakamaru, Tomomasa Matsunaga, Tetsuro Yamazaki, Soramichi Akiyama, Shigeru Chiba,  Pre-print,  Media Attached",Live Q&A,An Empirical Study of Method Chaining in JavaMSR - Technical Paper,Technical Papers
5,2020,Mon 29 Jun 2020,10:30,11:00,MSR:Zoom,Chair(s): Venera Arnaoudova Washington State University,Programming Languages & Models,6.0,2020-06-29T10:54:00,2020-06-29T11:00:00,MSR:Zoom,"Nan Yang, Pieter Cuijpers, Ramon Schiffelers, Johan Lukkien, Alexander Serebrenik,  Media Attached",Live Q&A,Painting Flowers: Reasons for Using Single-State State Machines in Model-Driven EngineeringMSR - Technical Paper,Technical Papers
6,2020,Mon 29 Jun 2020,10:30,11:00,MSR:Zoom2,Chair(s): Venera Arnaoudova Washington State University,Refactoring & Testing,7.0,2020-06-29T10:30:00,2020-06-29T10:37:00,MSR:Zoom2,"Leonardo Da Silva Sousa, Diego Cedrim, Alessandro Garcia, Willian Oizumi, Ana Carla Bibiano, Daniel Oliveira, Miryung Kim, Anderson Oliveira,  Pre-print,  Media Attached",Live Q&A,"Characterizing and Identifying Composite Refactorings: Concepts, Heuristics and PatternsMSR - Technical Paper",Technical Papers
7,2020,Mon 29 Jun 2020,10:30,11:00,MSR:Zoom2,Chair(s): Venera Arnaoudova Washington State University,Refactoring & Testing,7.0,2020-06-29T10:37:00,2020-06-29T10:44:00,MSR:Zoom2,"Matheus Paixao, Anderson Uchôa, Ana Carla Bibiano, Daniel Oliveira, Alessandro Garcia, Jens Krinke, Emilio Arvonio,  Pre-print,  Media Attached",Live Q&A,Behind the Intents: An In-depth Empirical Study  on Software Refactoring in Modern Code ReviewMSR - Technical Paper,Technical Papers
8,2020,Mon 29 Jun 2020,10:30,11:00,MSR:Zoom2,Chair(s): Venera Arnaoudova Washington State University,Refactoring & Testing,7.0,2020-06-29T10:45:00,2020-06-29T10:52:00,MSR:Zoom2,"Federico Corò, Roberto Verdecchia, Emilio Cruciani, Breno Miranda, Antonia Bertolino,  Pre-print,  Media Attached",Live Q&A,JTeC: A Large Collection of Java Test Classes for Test Code Analysis and ProcessingMSR - Data Showcase,Data Showcase
9,2020,Mon 29 Jun 2020,10:30,11:00,MSR:Zoom2,Chair(s): Venera Arnaoudova Washington State University,Refactoring & Testing,7.0,2020-06-29T10:52:00,2020-06-29T10:59:00,MSR:Zoom2,"András Kicsi, László Vidács, Tibor Gyimothy,  Pre-print,  Media Attached",Live Q&A,TestRoutes: A Manually Curated Method Level Dataset for Test-to-Code TraceabilityMSR - Data Showcase,Data Showcase
10,2020,Mon 29 Jun 2020,11:00,12:00,MSR:Zoom,Chair(s): Venera Arnaoudova Washington State University,"Build, CI, & Dependencies",12.0,2020-06-29T11:00:00,2020-06-29T11:12:00,MSR:Zoom,"Yiwen Wu, Yang Zhang, Tao Wang, Huaimin Wang,  Pre-print,  Media Attached",Live Q&A,A Tale of Docker Build Failures: A Preliminary StudyMSR - Technical Paper,Technical Papers
11,2020,Mon 29 Jun 2020,11:00,12:00,MSR:Zoom,Chair(s): Venera Arnaoudova Washington State University,"Build, CI, & Dependencies",12.0,2020-06-29T11:12:00,2020-06-29T11:24:00,MSR:Zoom,"Suhaib Mujahid, Rabe Abdalkareem, Emad Shihab, Shane McIntosh,  Pre-print,  Media Attached",Live Q&A,Using Others' Tests to Avoid Breaking UpdatesMSR - Technical Paper,Technical Papers
12,2020,Mon 29 Jun 2020,11:00,12:00,MSR:Zoom,Chair(s): Venera Arnaoudova Washington State University,"Build, CI, & Dependencies",12.0,2020-06-29T11:24:00,2020-06-29T11:36:00,MSR:Zoom,"Jordan Henkel, Christian Bird, Shuvendu Lahiri, Thomas Reps,  Media Attached",Live Q&A,A Dataset of DockerfilesMSR - Data Showcase,Data Showcase
