id,year,date,session_start,session_end,room,chair,session_title,duration,dtstart,dtend,location,author,type,title,topic
1,2021,Mon 17 May 2021,10:00,10:50,MSR Room 1,Chair(s): Sarah Nadi,Resources for MSR Research,3.0,2021-05-17T10:01:00,2021-05-17T10:04:00,MSR Room 1,"Egor Spirin, Egor Bogomolov, Vladimir Kovalenko, Timofey Bryksin,  Pre-print",Talk,PSIMiner: A Tool for Mining Rich Abstract Syntax Trees from Code,Technical Papers
2,2021,Mon 17 May 2021,10:00,10:50,MSR Room 1,Chair(s): Sarah Nadi,Resources for MSR Research,3.0,2021-05-17T10:04:00,2021-05-17T10:07:00,MSR Room 1,"Maria Papoutsoglou, Johannes Wachs, Georgia Kapitsaki,  Pre-print",Talk,Mining DEV for social and technical insights about software development,Technical Papers
3,2021,Mon 17 May 2021,10:00,10:50,MSR Room 1,Chair(s): Sarah Nadi,Resources for MSR Research,3.0,2021-05-17T10:07:00,2021-05-17T10:10:00,MSR Room 1,"Nikolai Sviridov, Mikhail Evtikhiev, Vladimir Kovalenko,  Pre-print",Talk,TNM: A Tool for Mining of Socio-Technical Data from Git Repositories,Technical Papers
4,2021,Mon 17 May 2021,10:00,10:50,MSR Room 1,Chair(s): Sarah Nadi,Resources for MSR Research,3.0,2021-05-17T10:10:00,2021-05-17T10:13:00,MSR Room 1,"Ahmed Zerouali, Camilo Velázquez-Rodríguez, Coen De Roover,  Pre-print,  Media Attached",Talk,Identifying Versions of Libraries used in Stack Overflow Code Snippets,Technical Papers
5,2021,Mon 17 May 2021,10:00,10:50,MSR Room 1,Chair(s): Sarah Nadi,Resources for MSR Research,3.0,2021-05-17T10:13:00,2021-05-17T10:16:00,MSR Room 1,"Ozren Dabic, Emad Aghajani, Gabriele Bavota,  Pre-print",Talk,Sampling Projects in GitHub for MSR Studies,Data Showcase
6,2021,Mon 17 May 2021,10:00,10:50,MSR Room 1,Chair(s): Sarah Nadi,Resources for MSR Research,3.0,2021-05-17T10:16:00,2021-05-17T10:19:00,MSR Room 1,"Christoph Gote, Christian Zingg,  Pre-print,  Media Attached",Talk,gambit – An Open Source Name Disambiguation Tool for Version Control Systems,Technical Papers
7,2021,Mon 17 May 2021,10:00,10:50,MSR Room 1,Chair(s): Sarah Nadi,Resources for MSR Research,31.0,2021-05-17T10:19:00,2021-05-17T10:50:00,MSR Room 1,,Live Q&A,Discussions and Q&A,Technical Papers
8,2021,Mon 17 May 2021,10:00,10:50,MSR Room 2,Chair(s): Sarah Nadi,Testing and code review,3.0,2021-05-17T10:01:00,2021-05-17T10:04:00,MSR Room 2,"Mouna Hammoudi, Christoph Mayr-Dorn, Atif Mashkoor, Alexander Egyed,  Media Attached",Talk,A Traceability Dataset for Open Source Systems,Data Showcase
9,2021,Mon 17 May 2021,10:00,10:50,MSR Room 2,Chair(s): Sarah Nadi,Testing and code review,4.0,2021-05-17T10:04:00,2021-05-17T10:08:00,MSR Room 2,"Diego Marcilio, Carlo A. Furia,  Pre-print",Talk,How Java Programmers Test Exceptional Behavior,Technical Papers
10,2021,Mon 17 May 2021,10:00,10:50,MSR Room 2,Chair(s): Sarah Nadi,Testing and code review,4.0,2021-05-17T10:08:00,2021-05-17T10:12:00,MSR Room 2,"Jeanderson Cândido, Jan Haesen, Maurício Aniche, Arie van Deursen,  Pre-print,  Media Attached",Talk,An Exploratory Study of Log Placement Recommendation in an Enterprise System,Technical Papers
