id,year,date,session_start,session_end,room,chair,session_title,duration,dtstart,dtend,location,author,type,title,topic
1,2022,Tue 17 May 2022,22:00,22:50,MSR Main room - even hours,"Chair(s): Maxime Lamothe, Jin L.C. Guo",Session 1,4.0,2022-05-17T22:00:00,2022-05-17T22:04:00,MSR Main room - even hours,"Nhan Nguyen, Sarah Nadi,  DOI,  Pre-print",Short-paper,An Empirical Evaluation of GitHub Copilot’s Code Suggestions,Technical Papers
2,2022,Tue 17 May 2022,22:00,22:50,MSR Main room - even hours,"Chair(s): Maxime Lamothe, Jin L.C. Guo",Session 1,4.0,2022-05-17T22:04:00,2022-05-17T22:08:00,MSR Main room - even hours,"Nikitha Rao, Jason Tsay, Martin Hirzel, Vincent J. Hellendoorn,  DOI,  Pre-print,  File Attached",Short-paper,Comments on Comments: Where Code Review and Documentation Meet,Technical Papers
3,2022,Tue 17 May 2022,22:00,22:50,MSR Main room - even hours,"Chair(s): Maxime Lamothe, Jin L.C. Guo",Session 1,7.0,2022-05-17T22:08:00,2022-05-17T22:15:00,MSR Main room - even hours,"Akalanka Galappaththi, Sarah Nadi, Christoph Treude,  DOI,  Pre-print,  Media Attached",Talk,Does This Apply to Me? An Empirical Study of Technical Context in Stack Overflow,Technical Papers
4,2022,Tue 17 May 2022,22:00,22:50,MSR Main room - even hours,"Chair(s): Maxime Lamothe, Jin L.C. Guo",Session 1,7.0,2022-05-17T22:15:00,2022-05-17T22:22:00,MSR Main room - even hours,"Jirat Pasuksmit, Patanamon Thongtanunam, Shanika Karunasekera",Talk,Towards Reliable Agile Iterative Planning via Predicting Documentation Changes of Work Items,Technical Papers
5,2022,Tue 17 May 2022,22:00,22:50,MSR Main room - even hours,"Chair(s): Maxime Lamothe, Jin L.C. Guo",Session 1,7.0,2022-05-17T22:22:00,2022-05-17T22:29:00,MSR Main room - even hours,"Ahmad Abdellatif, Mairieli Wessel, Igor Steinmacher, Marco Gerosa, Emad Shihab,  Pre-print",Talk,BotHunter: An Approach to Detect Software Bots in GitHub,Technical Papers
6,2022,Tue 17 May 2022,22:00,22:50,MSR Main room - even hours,"Chair(s): Maxime Lamothe, Jin L.C. Guo",Session 1,7.0,2022-05-17T22:29:00,2022-05-17T22:36:00,MSR Main room - even hours,"Chaiyong Ragkhitwetsagul, Matheus Paixao,  Pre-print",Talk,Recommending Code Improvements Based on Stack Overflow Answer Edits,Registered Reports
7,2022,Tue 17 May 2022,22:00,22:50,MSR Main room - even hours,"Chair(s): Maxime Lamothe, Jin L.C. Guo",Session 1,14.0,2022-05-17T22:36:00,2022-05-17T22:50:00,MSR Main room - even hours,,Live Q&A,Discussions and Q&A,Technical Papers
8,2022,Wed 18 May 2022,03:00,03:50,MSR Main room - odd hours,"Chair(s): Maxime Lamothe, Jin L.C. Guo",Session 2: Maintenance (Issues & Smells),4.0,2022-05-18T03:00:00,2022-05-18T03:04:00,MSR Main room - odd hours,"Lloyd Montgomery, Clara Marie Lüders, Walid Maalej,  Pre-print,  Media Attached",Talk,An Alternative Issue Tracking Dataset of Public Jira Repositories,Data and Tool Showcase Track
9,2022,Wed 18 May 2022,03:00,03:50,MSR Main room - odd hours,"Chair(s): Maxime Lamothe, Jin L.C. Guo",Session 2: Maintenance (Issues & Smells),7.0,2022-05-18T03:04:00,2022-05-18T03:11:00,MSR Main room - odd hours,"Ruben Opdebeeck, Ahmed Zerouali, Coen De Roover,  Pre-print",Talk,"Smelly Variables in Ansible Infrastructure Code: Detection, Prevalence, and Lifetime",Technical Papers
10,2022,Wed 18 May 2022,03:00,03:50,MSR Main room - odd hours,"Chair(s): Maxime Lamothe, Jin L.C. Guo",Session 2: Maintenance (Issues & Smells),7.0,2022-05-18T03:11:00,2022-05-18T03:18:00,MSR Main room - odd hours,"Clara Marie Lüders, Abir Bouraffa, Walid Maalej,  DOI,  Pre-print",Talk,Beyond Duplicates: Towards Understanding and Predicting Link Types in Issue Tracking Systems,Technical Papers
11,2022,Wed 18 May 2022,03:00,03:50,MSR Main room - odd hours,"Chair(s): Maxime Lamothe, Jin L.C. Guo",Session 2: Maintenance (Issues & Smells),7.0,2022-05-18T03:18:00,2022-05-18T03:25:00,MSR Main room - odd hours,"Qinyun Wu, Huan Song, Ping Yang",Talk,Real-World Clone-Detection in Go,Industry Track
12,2022,Wed 18 May 2022,03:00,03:50,MSR Main room - odd hours,"Chair(s): Maxime Lamothe, Jin L.C. Guo",Session 2: Maintenance (Issues & Smells),4.0,2022-05-18T03:25:00,2022-05-18T03:29:00,MSR Main room - odd hours,"Emanuela Guglielmi, Simone Scalabrino, Gabriele Bavota, Rocco Oliveto,  Pre-print",Talk,Towards Using Gameplay Videos for Detecting Issues in Video Games,Registered Reports
13,2022,Wed 18 May 2022,03:00,03:50,MSR Main room - odd hours,"Chair(s): Maxime Lamothe, Jin L.C. Guo",Session 2: Maintenance (Issues & Smells),4.0,2022-05-18T03:29:00,2022-05-18T03:33:00,MSR Main room - odd hours,"James Caddy, Markus Wagner , Christoph Treude, Earl T. Barr, Miltiadis Allamanis,  DOI,  Pre-print,  Media Attached",Talk,Is Surprisal in Issue Trackers Actionable?,Registered Reports
14,2022,Wed 18 May 2022,03:00,03:50,MSR Main room - odd hours,"Chair(s): Maxime Lamothe, Jin L.C. Guo",Session 2: Maintenance (Issues & Smells),17.0,2022-05-18T03:33:00,2022-05-18T03:50:00,MSR Main room - odd hours,,Live Q&A,Discussions and Q&A,Technical Papers
15,2022,Wed 18 May 2022,05:00,05:50,MSR Main room - odd hours,"Chair(s): Maxime Lamothe, Jin L.C. Guo","Session 3: Introspection, Vision, and Human Aspects",4.0,2022-05-18T05:00:00,2022-05-18T05:04:00,MSR Main room - odd hours,"Davide Rossi, Stefano Zacchiroli,  Pre-print,  Media Attached",Short-paper,Geographic Diversity in Public Code Contributions,Technical Papers
16,2022,Wed 18 May 2022,05:00,05:50,MSR Main room - odd hours,"Chair(s): Maxime Lamothe, Jin L.C. Guo","Session 3: Introspection, Vision, and Human Aspects",7.0,2022-05-18T05:04:00,2022-05-18T05:11:00,MSR Main room - odd hours,"Johannes Härtel, Ralf Laemmel,  Pre-print,  Media Attached",Talk,Operationalizing Threats to MSR Studies by Simulation-Based TestingDistinguished Paper Award,Technical Papers
17,2022,Wed 18 May 2022,05:00,05:50,MSR Main room - odd hours,"Chair(s): Maxime Lamothe, Jin L.C. Guo","Session 3: Introspection, Vision, and Human Aspects",4.0,2022-05-18T05:11:00,2022-05-18T05:15:00,MSR Main room - odd hours,"Zeinab Abou Khalil, Stefano Zacchiroli,  DOI,  Pre-print",Talk,The General Index of Software Engineering Papers,Data and Tool Showcase Track
